"","id","AD","CIT","SW"
"1","304SM51WA34XCM4E67SL28LY2UCBS4",3.0545894405,2.736297208,1.6442385035
"2","308Q0PEVB8DPUFML3BKB70KL51T9IW",2.6659195975,1.50619549,1.5281450015
"3","308Q0PEVB8DPUFML3BKB70KL6Q8I9Z",1.629748028,1.6568672515,0.6657188445
"4","308XBLVESI4LB741RISGCYG2G16RBR",1.910351793,2.134919244,0.3528360955
"5","30BUDKLTXDVUDNIN42H3A5HRS51E5M",3.491979408,2.2845494045,1.204889309
"6","30BUDKLTXDVUDNIN42H3A5HRSWAE5D",2.237053661,2.5521261265,2.4952502295
"7","30BUDKLTXDVUDNIN42H3A5HRSXWE51",1.777361536,1.3819627575,1.02131474
"8","30BXRYBRP4X0AGO9Q4CIL8RH3P1WHI",2.152066213,2.6569749315,0.825166209
"9","30BXRYBRP4X0AGO9Q4CIL8RH4RNWH9",2.9246320175,2.6935007235,1.616310352
"10","30H4UDGLT2IWILSJ5FE0LJRHRG6PM2",2.225490135,1.1936190575,0.826602207
"11","30H4UDGLT2IWILSJ5FE0LJRHS0EPMF",3.340130545,2.64067053,1.520555652
"12","30H4UDGLT2IWILSJ5FE0LJRHS3IMPM",2.4434232005,3.432670363,0.276567314
"13","30IQTZXKAK64OGN3211JHZ67RVM0X1",2.309949402,2.551070438,0.068007908
"14","30JNVC0OR9KVQJSNEVDCTJ9VFJVHQ0",4.1017828235,1.327988921,0.2639777215
"15","30LB5CDZNCATTBNI3JP4EKMIYES0Z7",3.1200439515,3.936787196,3.1345638665
"16","30LB5CDZNCATTBNI3JP4EKMIZYM0Z6",4.5283976675,3.476992144,2.2764076635
"17","30MVJZJNHMDLPQ6RLT5BJ1ZLI57J9L",3.4736787205,1.8355800565,1.3827723315
"18","30MVJZJNHMDLPQ6RLT5BJ1ZLJ01J96",1.66172094,1.091006878,0.324476889
"19","30MVJZJNHMDLPQ6RLT5BJ1ZLJ5TJ98",2.7148472945,5.7294854755,2.315960817
"20","30OG32W0SUBY3COT82DP4MHDI9XNEI",1.898949475,1.9915102965,0.4430316525
"21","30OG32W0SUBY3COT82DP4MHDIENNEI",3.559343018,0.68153072,-0.2275904545
"22","30OG32W0SUBY3COT82DP4MHDJHQNES",3.0545512725,1.8608933275,-0.0868961020000002
"23","30X31N5D63QSTCZM0TSP7X1SKJRSA4",1.9338531965,2.8409394315,0.8879112985
"24","30X31N5D63QSTCZM0TSP7X1SL2TASR",3.520128059,2.429621012,1.702617912
"25","30X31N5D63QSTCZM0TSP7X1SL5SSAE",3.205322024,2.090786198,2.779889382
"26","30ZX6P7VF8VAP6LS0KQW9ER7D1T2JD",3.0109063945,2.31200498,2.0197508635
"27","30ZX6P7VF8VAP6LS0KQW9ER7DUH2JN",3.234638484,2.23259868,2.3666225795
"28","3137ONMDKG5STK77LY0UE28GHGUEGM",3.1119637465,1.906630191,-0.033183653
"29","3137ONMDKG5STK77LY0UE28GHLGGEK",2.1230877255,1.0033551085,0.474284307
"30","3137ONMDKG5STK77LY0UE28GHP9GEL",1.5899465825,0.7969146325,-0.064170611
"31","317HQ483I7SAJHQF4L3GP1F5ALPNIE",1.4145780475,1.8164869035,0.0852769435
"32","317HQ483I7SAJHQF4L3GP1F5BBRNIX",2.6657066775,2.0756432565,0.7203578005
"33","317HQ483I7SAJHQF4L3GP1F5BBXINY",2.8996829255,2.6324003305,2.4069281485
"34","317HQ483I7SAJHQF4L3GP1F5BHJNI1",1.6494693775,1.208364456,0.310126151
"35","3180JW2OT4C2O34FI3SU7LUJWKW5JA",3.570255984,1.4920808505,0.7820293285
"36","3180JW2OT4C2O34FI3SU7LUJWWS5JU",2.500931028,2.832787194,0.92262936
